Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
state_list,cam_care_pd_questionnaire,,dropdown,State or territory,"1, Alabama | 2, Alaska | 3, American Samoa | 4, Arizona | 5, Arkansas | 6, California | 7, Colorado | 8, Connecticut | 9, District of Columbia | 10, Delaware | 11, Florida | 12, Georgia | 13, Guam | 14, Hawaii | 15, Idaho | 16, Illinois | 17, Indiana | 18, Iowa | 19, Kansas | 20, Kentucky | 21, Louisiana | 22, Maine | 23, Maryland | 24, Massachusetts | 25, Michigan | 26, Minnesota | 27, Mississippi | 28, Missouri | 29, Montana | 30, Nebraska | 31, Nevada | 32, New Hampshire | 33, New Jersey | 34, New Mexico | 35, New York | 36, North Carolina | 37, North Marianas Islands | 38, North Dakota | 39, Ohio | 40, Oklahoma | 41, Oregon | 42, Pennsylvania | 43, Puerto Rico | 44, Rhode Island | 45, South Carolina | 46, South Dakota | 47, Tennessee | 48, Texas | 49, Utah | 50, Vermont | 51, Virginia | 52, Virgin Islands | 53, Washington | 54, West Virginia | 55, Wisconsin | 56, Wyoming",,,,,,[country] = '1',y,,,,,
state,cam_care_pd_questionnaire,,text,State,,,,,,,,y,,,,,@HIDDEN-SURVEY
province_ca,cam_care_pd_questionnaire,,dropdown,Province,"1, Alberta (AB) | 2, British Columbia (BC) | 3, Manitoba (MB) | 4, New Brunswick (NB) | 5, Newfoundland and Labrador (NL) | 6, Northwest Territories (NT) | 7, Nova Scotia (NS) | 8, Nunavut (NU) | 9, Ontario (ON) | 10, Prince Edward Island (PE) | 11, Quebec (QC) | 12, Saskatchewan (SK) | 13, Yukon (YT)",,,,,,[country] = '34',y,,,,,
province_other,cam_care_pd_questionnaire,,text,"State , province, or region",,,,,,,[country] <> '1' and [country] <> '34' and [country] <> '',,,,,,
zip,cam_care_pd_questionnaire,,text,Postal (ZIP) code,,,,,,y,,y,,,,,
email,cam_care_pd_questionnaire,,text,Email,,,,,,y,,y,,,,,
phone,cam_care_pd_questionnaire,,text,Phone,,,,,,y,,,,,,,
todaydate,cam_care_pd_questionnaire,,text,Today's Date,,,date_mdy,,,,,,,,,,
dxpd,cam_care_pd_questionnaire,,text,Date of Parkinson's diagnosis?,,,date_mdy,,,,,,,,,,
firstpdsx,cam_care_pd_questionnaire,,text,"What is the approximate month, day, and year that you first began having motor symptoms related to PD, even before your diagnosis? 
(If you don't know the date, choose the 15th of the month.)",,,date_mdy,,,,,,,,,,
diagnosis,cam_care_pd_questionnaire,,radio,What is your diagnosis?,"1, Parkinson's disease/ Idiopathic Parkinson's disease (PD) | 2, Parkinsonism | 3, Multiple system atrophy (MSA)/ Shy-Drager syndrome | 4, Progressive supranuclear palsy (PSP) | 5, Corticobasal degeneration (CBD) | 6, Dementia with Lewy bodies (DLB) | 7, Pick's disease | 8, Olivopontocerebellar atrophy (OPCA) | 9, Other",,,,,,,y,,,,,
otherdiagnosis,cam_care_pd_questionnaire,,text,"If other, please describe:",,,,,,,[diagnosis] = '9',,,,,,
progression6mo,cam_care_pd_questionnaire,,dropdown,"Over the past 6 months, would you say your disease has:","1, Improved | 2, Been stable | 3, Worsened",,,,,,,,,,,,
pd_stage,cam_care_pd_questionnaire,,dropdown,Which stage best represents your disease?,"1, 1-sided symptoms only, minimal disability | 2, Both sides affected, balance is stable | 3, Mild to moderate disability, balance affected | 4, Severe disability, able to walk and stand without help | 5, Confinement to bed or wheelchair unless aided | 6, Don't know",,,,,,,,,,,,
slow,cam_care_pd_questionnaire,"DISEASE STATUS    The more severe the symptom, move slider right.  If you don't have the symptom, move slider left.",slider,Slowness,Move with ease | Severe,,,,,,,y,RH,,,,
tremor,cam_care_pd_questionnaire,,slider,Tremor,None | Severe & debilitating,,,,,,,y,RH,,,,
balance,cam_care_pd_questionnaire,,slider,Sense of balance,Sturdy & steady | Occasional falls | Lose balance spontaneously,,,,,,,y,RH,,,,
fatigue,cam_care_pd_questionnaire,,slider,Fatigue,None | Severe,,,,,,,y,RH,,,,
sleepy,cam_care_pd_questionnaire,,slider,Daytime Sleepiness,None | Severe,,,,,,,y,RH,,,,
motivation,cam_care_pd_questionnaire,,slider,Motivation & Initiative,"Engaged, active | Withdrawn, detached",,,,,,,y,RH,,,,
constipation,cam_care_pd_questionnaire,,slider,Constipation (incomplete bowel empyting),Daily bowel movement | require medication | Severe constipation,,,,,,,y,RH,,,,
walk,cam_care_pd_questionnaire,,slider,Walking,"I move freely, with ease | Unable to move",,,,,,,y,RH,,,,
rising,cam_care_pd_questionnaire,,slider,Rising from seated position,With ease | With effort | Require assistance,,,,,,,y,RH,,,,
dressing,cam_care_pd_questionnaire,,slider,"Dressing, Eating, Grooming",With ease | With effort | Require assistance,,,,,,,y,RH,,,,
freezing,cam_care_pd_questionnaire,,slider,Freezing,"None | Severe, debilitating",,,,,,,y,RH,,,,
falls,cam_care_pd_questionnaire,,slider,Falling,Never | Occassionally | Daily,,,,,,,y,RH,,,,
handwriting,cam_care_pd_questionnaire,,slider,Handwriting & Typing,With ease | Slow or small | Illegible,,,,,,,y,RH,,,,
drool,cam_care_pd_questionnaire,,slider,Drooling,None | Nightime only | Severe,,,,,,,y,RH,,,,
speech,cam_care_pd_questionnaire,,slider,Speech,Normal | Asked to repeat statements | Not understandable,,,,,,,y,RH,,,,
visual,cam_care_pd_questionnaire,,slider,Visual disturbance,None | Severe,,,,,,,y,RH,,,,
musclepain,cam_care_pd_questionnaire,,slider,"Muscle cramping, pain, or aching",None | Severe,,,,,,,y,RH,,,,
restlesslegs,cam_care_pd_questionnaire,,slider,Restless Legs- Urge to move legs in order to stop unpleasant sensations,None | Severe,,,,,,,y,RH,,,,
rbd,cam_care_pd_questionnaire,,slider,Sleep behavior disorder (e.g. acting out dreams),"None | Vivid dreams | Yelling, kicking, interferes with sleep",,,,,,,y,RH,,,,
insomnia,cam_care_pd_questionnaire,,slider,Insomnia (inability to sleep),Not a problem | Severe problem,,,,,,,y,RH,,,,
smell,cam_care_pd_questionnaire,,slider,Sense of smell,Excellent | Completely absent,,,,,,,y,RH,,,,
nausea,cam_care_pd_questionnaire,,slider,Nausea,None | Severe,,,,,,,y,RH,,,,
depression,cam_care_pd_questionnaire,,slider,"Depression (feeling sad, blues)",Mentally healthy | Persistent sorrow | Severe,,,,,,,y,RH,,,,
anxiety,cam_care_pd_questionnaire,,slider,Anxiety,None | Severe,,,,,,,y,RH,,,,
withdrawn,cam_care_pd_questionnaire,,slider,Loss of Interest ,"Active, engaged | Severely withdrawn",,,,,,,y,RH,,,,
dizzy,cam_care_pd_questionnaire,,slider,Dizzy on standing,None | Severe,,,,,,,y,RH,,,,
stoop,cam_care_pd_questionnaire,,slider,Stooped posture,Stand tall | Rounded shoulders | Severely stooped,,,,,,,y,RH,,,,
memory,cam_care_pd_questionnaire,,slider,Memory/ Forgetfulness,Sharp | Occasional forgetfulness | Severe lapses,,,,,,,y,RH,,,,
comprehension,cam_care_pd_questionnaire,,slider,Comprehension,Sharp | Frequent confusion,,,,,,,y,RH,,,,
sexual,cam_care_pd_questionnaire,,slider,"Sexual dysfunction 
(loss of libido, erectile dysfunction, difficulty with orgasm)",Healthy | Severe,,,,,,,y,RH,,,,
urinary,cam_care_pd_questionnaire,,slider,"Urinary symptoms
(dribbling, urgency, incontinence)",None | Incontinent,,,,,,,y,RH,,,,
dyskinesia,cam_care_pd_questionnaire,,slider,"Dyskinesia
(Rocking, writhing, twisting, squirming movements associated with medication)","None | Sometimes, mild | Severe, debilitating",,,,,,,y,RH,,,,
hallucinations,cam_care_pd_questionnaire,,slider,"Hallucinations or Delusions
(seeing things that aren't there)",None | Mild | Severe,,,,,,,y,RH,,,,
propd,cam_care_pd_questionnaire,,calc,PRO-PD Score,([slow] + [tremor] + [balance] + [fatigue] + [sleepy] + [motivation] + [constipation]  + [walk] + [rising] + [dressing] + [freezing] + [falls] + [handwriting] + [drool] + [speech] + [visual] + [musclepain] + [restlesslegs] + [rbd] + [insomnia] + [smell] + [nausea] + [depression] + [anxiety] + [withdrawn] + [dizzy] + [stoop] + [memory] + [comprehension] + [sexual] + [urinary] + [dyskinesia] + [hallucinations]),,,,,,,,,,,,
medsubs,cam_care_pd_questionnaire,,checkbox,Please mark box if you have taken any of the following consistently over the past 6 months.,"1, Alpha-Lipoic acid | 2, Coconut oil | 3, Vitamin B12 (methylcobalamin, cyanocobalamin) | 4, Vitamin C | 5, Calcium | 6, Vitamin D | 7, CoQ10 | 8, DHEA | 9, Estrogen | 10, Fish Oil | 11, NADH | 12, Gingko biloba | 13, Glutathione, oral | 14, Glutathione, intranasal | 15, Inosine | 16, Iron (Fe) | 17, Lithium, low dose | 18, Marijuana (edible) | 19, Marijuana (inhaled) | 20, Melatonin | 21, Probiotics | 22, Quercetin | 23, Resveratrol | 24, Rubidium | 25, Homocysteine Factors (B6, B12, folic acid, betaine) | 26, Turmeric/ curcumin | 27, 5 methyltetrahydrofolate (5-MTHF) | 28, Multivitamin/ Mineral | 29, N-acetyl cysteine (NAC) | 30, Low dose naltrexone | 31, Mucuna | 32, Fava beans | 33, Asea | 34, Dance for PD | 35, Tremble Clefs program | 36, Lee Silverman Voice Treatment | 37, Music Mends Minds",,,,,,,,,,,,
specialdiet,cam_care_pd_questionnaire,,checkbox,Have you followed any of these diets consistently in the last 6 months? (check all that apply),"9, Anti-inflammatory diet | 1, Calorie restriction | 2, Ketogenic | 12, Paleo diet | 5, Low-carbohydrate | 3, Low-fat | 4, Low-protein | 6, Vegan (no dairy, eggs, or meat) | 7, Vegetarian | 8, Wahls diet | 13, Allergy Avoidance (avoid foods you've been shown to make antibodies to) | 10, No dietary restrictions | 11, Other",,,,,,,,,,,,
veg_type,cam_care_pd_questionnaire,,dropdown,What type of vegetarianism?,"1, Vegetarian, lacto-ovo (dairy and eggs, no meat) | 2, Vegetarian, ovo (eggs, no dairy or meat)",,,,,,[specialdiet(7)] = '1',,,,,,
otherdiet,cam_care_pd_questionnaire,,text,What diet do you follow? ,,,,,,,[specialdiet(11)] = '1',,,,,,
music,cam_care_pd_questionnaire,,checkbox,"Music
Please mark box if you have consistently engaged in the activity over the past 6 months","0, Listen to music | 1, Play an instrument | 2, Singing | 3, Dancing | 4, Writing music | 5, Reading music",,,,,,,,,,,,
activity,cam_care_pd_questionnaire,,dropdown,On how many of the last seven days did you participate in at least 30 minutes of physical activity?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6|7,7",,,,,,,,,,,,
specific_exercise,cam_care_pd_questionnaire,,checkbox,What kind of physical activity? (check all that apply),"1, Swimming | 2, Running | 3, Biking | 4, Hiking | 5, Yoga | 6, Dance | 7, Walking | 8, Climbing | 9, Tai chi | 11, Brian Grant Foundation Powering Forward Boot Camp | 12, Silver Sneakers FLEX Parkinson's Cycling Program | 13, Rock Steady Boxing | 10, Other | 14, The Daily Dose 䋢 | 15, The Parkinson's Fitness Project 䋢",,,,,,,,,,,,
otheract,cam_care_pd_questionnaire,,text,"What ""Other"" activity do you do?",,,,,,,[specific_exercise(10)] = '1',,,,,,
minofexercise,cam_care_pd_questionnaire,,descriptive,"For how long did you participate? 
(number of minutes per week, total)
",,,,,,,[specific_exercise(1)] = '1' and [specific_exercise(2)] = '1' and [specific_exercise(3)] = '1' and [specific_exercise(4)] = '1' and [specific_exercise(5)] = '1' and [specific_exercise(6)] = '1' and [specific_exercise(7)] = '1' and [specific_exercise(8)] = '1' and [specific_exercise(9)] = '1' and [specific_exercise(11)] = '1' and [specific_exercise(12)] = '1' and [specific_exercise(13)] = '1' and [specific_exercise(10)] = '1' and [specific_exercise(14)] = '1' and [specific_exercise(15)] = '1',,,,,,
intensity,cam_care_pd_questionnaire,,radio,"At what intensity level did you engage, on average, while doing the activity? ","5, 1- barely moving | 2, 2 | 6, 3 - increased heart rate, breaking a sweat | 7, 4 | 8, 5- maximum effort",,,,,,[specific_exercise(1)] = '1' and [specific_exercise(2)] = '1' and [specific_exercise(3)] = '1' and [specific_exercise(4)] = '1' and [specific_exercise(5)] = '1' and [specific_exercise(6)] = '1' and [specific_exercise(7)] = '1' and [specific_exercise(8)] = '1' and [specific_exercise(9)] = '1' and [specific_exercise(11)] = '1' and [specific_exercise(12)] = '1' and [specific_exercise(13)] = '1' and [specific_exercise(10)] = '1' and [specific_exercise(14)] = '1' and [specific_exercise(15)] = '1',,,,,,
global01,cam_care_pd_questionnaire,Please respond to each item by marking one answer per question.,radio,"In general, would you say your health is:...","5, Excellent | 4, Very good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global02,cam_care_pd_questionnaire,,radio,"In general, would you say your quality of life is:...","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global03,cam_care_pd_questionnaire,,radio,"In general, how would you rate your physical health?...","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global04,cam_care_pd_questionnaire,,radio,"In general, how would you rate your mental health, including your mood and your ability to think?...","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global05,cam_care_pd_questionnaire,,radio,"In general, how would you rate your satisfaction with your social activities and relationships?...","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global09,cam_care_pd_questionnaire,,radio,"In general, please rate how well you carry out your usual social activities and roles. (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)...","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
global06,cam_care_pd_questionnaire,,radio,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?...","5, Completely | 4, Mostly | 3, Moderately | 2, A little | 1, Not at all",,,,,,,,,,,,
global10,cam_care_pd_questionnaire,In the past 7 days....,radio,"How often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?...","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
global08,cam_care_pd_questionnaire,,radio,How would you rate your fatigue on average?...,"1, None | 2, Mild | 3, Moderate | 4, Severe | 5, Very Severe",,,,,,,,,,,,
global07,cam_care_pd_questionnaire,,radio,How would you rate your pain on average?...,"1, 1 No pain | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 Worst imaginable pain",,,,,,,,,,,,
rbd1q,cam_care_pd_questionnaire,,yesno,"Have you ever been told, or suspected yourself, that you seem to 'act out your dreams' while asleep (for example, punching, flailing your arms in the air, making running movements, etc.)?",,,,,,,,,,,,,
smokeever,cam_care_pd_questionnaire,Lifetime Tobacco Use,yesno,Have you smoked at least 100 cigarettes in your ENTIRE LIFE?,,,,,,,,,,,,,
smkreg,cam_care_pd_questionnaire,,text,How old were you when you FIRST started to smoke fairly regularly? ,,,,,,,,,,,,,
smknow,cam_care_pd_questionnaire,,dropdown,"Do you NOW smoke cigarettes every day, some days, or not at all?","1, Every day | 2, Some days | 3, Not at all | 4, Don't know",,autocomplete,,,,,,,,,,
smkqtno,cam_care_pd_questionnaire,,text,How long has it been since you quit smoking cigarettes? (enter number here and unit of time below),,,,,,,,,,,,,
smkqttp,cam_care_pd_questionnaire,,radio,How long has it been since you quit smoking cigarettes? (Time period),"1, Days | 2, Weeks | 3, Months | 4, Years | 5, Don't know",,,,,,,,,,,,
cigsda1,cam_care_pd_questionnaire,,text,"On the average, how many cigarettes do you now smoke a day?",,,,,,,,,,,,,
cigsdamo,cam_care_pd_questionnaire,,text,On how many of the PAST 30 DAYS did you smoke a cigarette?,,,,,,,,,,,,,
cigsda2,cam_care_pd_questionnaire,,text,"On the average, when you smoked during the PAST 30 DAYS, about how many cigarettes did you smoke a day? ",,,,,,,,,,,,,
cigqtyr,cam_care_pd_questionnaire,,dropdown,"During the PAST 12 MONTHS, have you stopped smoking for more than one day BECAUSE YOU WERE TRYING TO QUIT SMOKING?","1, Yes | 2, No | 3, Don't know",,autocomplete,,,,,,,,,,
occupation,cam_care_pd_questionnaire,Occupational History,notes,"To the best of your ability, please describe the jobs you have held, the work required during your employment, and any potential environmental exposures encountered as part of your work? 
(If you have answered this question before, only answer this question if your employment history has changed.)",,,,,,,,,,,,,
meals,cam_care_pd_questionnaire,Diet and Lifestyle - Please mark all boxes you consider TRUE or FALSE over the past six months. ,truefalse,I eat most meals at home.,,,,,,,,,,,,,
cook,cam_care_pd_questionnaire,,truefalse,I cook most of my meals.,,,,,,,,,,,,,
preparemeal,cam_care_pd_questionnaire,,truefalse,I routinely prepare meals for others.,,,,,,,,,,,,,
grocery,cam_care_pd_questionnaire,,truefalse,It is difficult to afford groceries.,,,,,,,,,,,,,
affordfood,cam_care_pd_questionnaire,,truefalse,I find it difficult to afford healthy food.,,,,,,,,,,,,,
localfood,cam_care_pd_questionnaire,,truefalse,"I buy food from local farmers (co-op, farmer's markets).",,,,,,,,,,,,,
organic,cam_care_pd_questionnaire,,truefalse,I try to eat organically grown foods when possilbe.,,,,,,,,,,,,,
vegetarian,cam_care_pd_questionnaire,,truefalse,I am a vegetarian.,,,,,,,,,,,,,
beef,cam_care_pd_questionnaire,,truefalse,I avoid beef.,,,,,,,,,,,,,
pork,cam_care_pd_questionnaire,,truefalse,I avoid pork.,,,,,,,,,,,,,
dairy,cam_care_pd_questionnaire,,truefalse,I avoid dairy.,,,,,,,,,,,,,
soda,cam_care_pd_questionnaire,,truefalse,I avoid soda.,,,,,,,,,,,,,
sweetner,cam_care_pd_questionnaire,,truefalse,I avoid artificial sweeteners.,,,,,,,,,,,,,
sugar,cam_care_pd_questionnaire,,truefalse,I avoid sugar.,,,,,,,,,,,,,
colors,cam_care_pd_questionnaire,,truefalse,"I avoid artificial colors, flavors, etc.",,,,,,,,,,,,,
church,cam_care_pd_questionnaire,,truefalse,I go to church.,,,,,,,,,,,,,
pray,cam_care_pd_questionnaire,,truefalse,I pray.,,,,,,,,,,,,,
friends,cam_care_pd_questionnaire,,truefalse,I have lots of friends.,,,,,,,,,,,,,
lonely,cam_care_pd_questionnaire,,truefalse,I am lonely.,,,,,,,,,,,,,
calorierestr,cam_care_pd_questionnaire,,truefalse,I practice calorie restriction.,,,,,,,,,,,,,
overweight,cam_care_pd_questionnaire,,truefalse,I am overweight.,,,,,,,,,,,,,
spices,cam_care_pd_questionnaire,,truefalse,I use spices liberally.,,,,,,,,,,,,,
meditate,cam_care_pd_questionnaire,,truefalse,I meditate.,,,,,,,,,,,,,
tobacco,cam_care_pd_questionnaire,,truefalse,I smoke tobacco.,,,,,,,,,,,,,
cannabis,cam_care_pd_questionnaire,,truefalse,"I use marijunana.  
(You may skip this question if you don't feel comfortable answering.)",,,,,,,,,,,,,
stress,cam_care_pd_questionnaire,,truefalse,I have a lot of stress.,,,,,,,,,,,,,
dirtyd,cam_care_pd_questionnaire,,truefalse,I can name 6 foods on the dirty dozen.,,,,,,,,,,,,,
stressmang,cam_care_pd_questionnaire,,truefalse,I practice stress management.,,,,,,,,,,,,,
amalgam,cam_care_pd_questionnaire,,truefalse,I have amalgam (silver) fillings.,,,,,,,,,,,,,
gold,cam_care_pd_questionnaire,,truefalse,I have gold crowns.,,,,,,,,,,,,,
root,cam_care_pd_questionnaire,,truefalse,I have had root canals.,,,,,,,,,,,,,
veteran,cam_care_pd_questionnaire,,truefalse,I am a veteran,,,,,,,,,,,,,
pets,cam_care_pd_questionnaire,,truefalse,I have pets.,,,,,,,,,,,,,
support,cam_care_pd_questionnaire,,truefalse,I am in a support group.,,,,,,,,,,,,,
book,cam_care_pd_questionnaire,,truefalse,I read a fictional book.,,,,,,,,,,,,,
education,cam_care_pd_questionnaire,,truefalse,I read an educational book.,,,,,,,,,,,,,
selfcare,cam_care_pd_questionnaire,,truefalse,I find it difficult to care for myself.,,,,,,,,,,,,,
dbs,cam_care_pd_questionnaire,,truefalse,I have had deep brain stimulation surgery (DBS).,,,,,,,,,,,,,
patientbirthdate,cam_care_pd_questionnaire,PERSONAL INFORMATION,text,Your date of birth:,,,date_mdy,,,y,,y,,,,,
gender,cam_care_pd_questionnaire,,radio,Gender,"1, Male | 2, Female",,,,,,,,,,,,
patientzip,cam_care_pd_questionnaire,,text,Zip Code,,,,,,y,,,,,,,
wgt,cam_care_pd_questionnaire,,text,Weight (lbs),,,,,,,,,,,,,
hgt,cam_care_pd_questionnaire,,text,Height (inches),,,,,,,,,,,,,
marital,cam_care_pd_questionnaire,,radio,What is your current marital or partnership status?,"1, Married | 2, Divorced | 3, Single | 4, Domestic partnership | 5, Other",,,,,,,,,,,,
race_ethnicity,cam_care_pd_questionnaire,,radio,Race / Ethnicity:,"1, Caucasian | 2, Black | 3, Hispanic | 4, Native American | 5, Asian / Pacific Islander | 6, Other",,,,,,,,,,,,
hair_color,cam_care_pd_questionnaire,,radio,What is your natural hair color?,"0, Black | 1, Blond | 2, Brown | 3, Red | 4, Other",,,,,,,,,,,,
costcam,cam_care_pd_questionnaire,The COST of Health: Please estimate your monthly out-of-pocket expenses for the following:,text,"Complementary & alternative therapies (CAM)
(supplements, vitamins, etc.)",,,,,,,,,,,,,
costconventional,cam_care_pd_questionnaire,,text,"Conventional therapies 
(co-pays, uncovered prescriptions, etc.)",,,,,,,,,,,,,
costactivity,cam_care_pd_questionnaire,,text,"Activity costs 
(gym, classes, memberships, etc.)",,,,,,,,,,,,,
highestedu,cam_care_pd_questionnaire,DEMOGRAPHICS  ,radio,"Highest grade level completed:
","1, Less than 8th grade | 2, Grades 9-11 | 3, Completed High School/GED | 4, Technical school certification | 5, Associate Degree | 6, Bachelors Degree | 7, Graduate / Professional degree",,,,,,,,,,,,
